call_id,ref_total_entities,ref_unique_entities,gt_total_entities,gt_unique_entities,concerned_ref_entities,concerned_gt_entities,global_eer_percentage,global_correct,global_missed,global_extra,accuracy_percentage,processing_duration
ec85480e-604c-4070-938f-b832e4904e9e,20,14,24,11,6,4,33.33,4,2,0,66.67,3.38
332017b6-9f62-444d-a657-7b733bc727fc,11,11,11,10,3,2,100.0,0,3,2,0.0,2.42
7fd6b5f9-8b11-4085-b864-a16f92504e53,25,12,31,12,6,4,100.0,2,4,2,33.33,4.01
5cdef144-9d6a-4100-9be6-8489f90fc466,18,16,20,9,5,3,40.0,3,2,0,60.0,3.05
d521ea56-2e7b-4908-8cca-acf4a0f89337,18,17,22,16,5,4,60.0,3,2,1,60.0,3.4
3502253e-259a-42d3-ab70-7aedabeb81fa,50,35,59,43,19,22,100.0,9,10,13,47.37,3.45
1bf3729b-c0a7-4f65-a846-88c8aa31a473,10,6,7,4,3,1,100.0,0,3,1,0.0,1.68
79e02e46-ea93-4669-9dc1-6c4339dcc6ba,14,12,14,12,5,4,100.0,0,5,4,0.0,1.98
99d176ec-e484-4937-ae0b-9d6d2d7cb5c5,16,12,16,11,5,4,100.0,2,3,2,40.0,2.36
7bbd5f06-2ac0-4227-be76-4ce7ef7cb567,17,12,20,9,6,3,50.0,3,3,0,50.0,3.27
8daee0cc-cbda-4cdf-b8ed-f120e3329138,9,8,9,8,2,2,100.0,0,2,2,0.0,2.43
268dbd88-173b-41a1-8363-4a6ba62b9aae,21,11,21,9,2,2,100.0,1,1,1,50.0,3.1
b94c0a58-b1c3-4bc8-ba02-0848b0a2af8f,14,9,18,8,3,2,100.0,1,2,1,33.33,3.27
eacbcb92-6172-41f7-b2a9-0c4df5a3a597,23,17,34,14,6,4,100.0,0,6,4,0.0,3.02
d7c521ce-dbcb-4c23-a776-66b38d8127b4,22,17,23,17,7,6,100.0,0,7,6,0.0,2.34
d24a5dc2-ac06-4f13-bbd1-5ec010d8d27c,15,14,16,9,5,3,40.0,3,2,0,60.0,3.74
5f4d919f-b1bc-4a3d-9d98-1f8279d51215,11,10,15,8,4,3,25.0,3,1,0,75.0,2.69
09f69426-e7e6-4f2a-a20a-75416d945306,64,37,60,35,23,16,82.61,10,13,6,43.48,4.62
482181f8-15e2-4ced-8a9a-67facdd9c6fc,15,13,13,10,5,2,100.0,0,5,2,0.0,2.18
d9aa182c-b21e-4ad5-8138-18d0e9f69b84,21,19,29,23,11,6,100.0,0,11,6,0.0,2.22
429ac8a5-6f19-46b3-97bb-8e55feec389e,28,22,51,20,10,7,100.0,3,7,4,30.0,3.57
e69e62f6-954a-4d0a-9989-2a2d562f66fe,54,34,54,36,19,20,100.0,5,14,15,26.32,2.16
c5f1aee1-8170-4c1b-93e0-1f8366882689,7,7,23,9,3,4,100.0,1,2,3,33.33,3.56
a26f3d38-ed43-4289-8d34-9ee376fb779d,34,23,63,24,7,7,71.43,4,3,2,57.14,4.86
750dfc05-c2c4-4937-a85d-46f597dc9880,20,16,23,13,6,4,33.33,4,2,0,66.67,3.23
03261666-7d82-49ec-8d6e-78c2f716ad73,28,16,25,15,10,10,100.0,5,5,5,50.0,1.13
03856e6b-6925-4012-8eb8-0a0289019b7e,22,13,17,13,5,8,80.0,4,1,3,80.0,3.1
